10.0.0.2,10.0.0.1,3
10.0.0.2,10.0.0.1,30
10.0.0.2,10.0.0.1,3
10.0.0.2,10.0.0.3,2
10.0.0.2,10.0.0.3,10
10.0.0.2,10.0.0.3,12
10.0.0.2,10.0.0.1,17
10.0.0.2,10.0.0.3,23
10.0.0.2,10.0.0.1,7
10.0.0.2,10.0.0.1,4
10.0.0.2,10.0.0.3,20
10.0.0.2,10.0.0.3,1
10.0.0.2,10.0.0.1,9
10.0.0.2,10.0.0.3,2
10.0.0.2,10.0.0.1,4
10.0.0.2,10.0.0.1,23
10.0.0.2,10.0.0.1,9
10.0.0.2,10.0.0.3,6
10.0.0.2,10.0.0.3,2
10.0.0.2,10.0.0.3,15
10.0.0.2,10.0.0.1,3
10.0.0.2,10.0.0.3,3
10.0.0.2,10.0.0.3,26
10.0.0.2,10.0.0.1,15
10.0.0.2,10.0.0.1,2
10.0.0.2,10.0.0.3,23
10.0.0.2,10.0.0.1,4
10.0.0.2,10.0.0.3,2
10.0.0.2,10.0.0.1,10
10.0.0.2,10.0.0.3,17
10.0.0.2,10.0.0.3,20
10.0.0.2,10.0.0.3,7
10.0.0.2,10.0.0.3,30
10.0.0.2,10.0.0.3,23
10.0.0.2,10.0.0.1,2
10.0.0.2,10.0.0.3,6
10.0.0.2,10.0.0.3,17
10.0.0.2,10.0.0.3,26
10.0.0.2,10.0.0.3,13
10.0.0.2,10.0.0.3,4
