10.0.0.3,10.0.0.1,7
10.0.0.3,10.0.0.1,8
10.0.0.3,10.0.0.1,29
10.0.0.3,10.0.0.2,7
10.0.0.3,10.0.0.1,2
10.0.0.3,10.0.0.1,9
10.0.0.3,10.0.0.1,6
10.0.0.3,10.0.0.1,16
10.0.0.3,10.0.0.2,19
10.0.0.3,10.0.0.1,16
10.0.0.3,10.0.0.2,12
10.0.0.3,10.0.0.1,6
10.0.0.3,10.0.0.2,0
10.0.0.3,10.0.0.2,2
10.0.0.3,10.0.0.2,20
10.0.0.3,10.0.0.1,15
10.0.0.3,10.0.0.2,12
10.0.0.3,10.0.0.2,1
10.0.0.3,10.0.0.1,11
10.0.0.3,10.0.0.2,15
10.0.0.3,10.0.0.2,14
10.0.0.3,10.0.0.1,14
10.0.0.3,10.0.0.1,17
10.0.0.3,10.0.0.1,17
10.0.0.3,10.0.0.1,28
10.0.0.3,10.0.0.1,19
10.0.0.3,10.0.0.1,7
10.0.0.3,10.0.0.1,23
10.0.0.3,10.0.0.1,6
10.0.0.3,10.0.0.2,19
10.0.0.3,10.0.0.2,10
10.0.0.3,10.0.0.1,16
10.0.0.3,10.0.0.2,3
10.0.0.3,10.0.0.2,24
10.0.0.3,10.0.0.2,0
10.0.0.3,10.0.0.2,14
10.0.0.3,10.0.0.1,21
10.0.0.3,10.0.0.2,0
10.0.0.3,10.0.0.1,19
10.0.0.3,10.0.0.2,28
