10.0.0.1,10.0.0.3,11
10.0.0.1,10.0.0.3,4
10.0.0.1,10.0.0.2,23
10.0.0.1,10.0.0.2,4
10.0.0.1,10.0.0.3,19
10.0.0.1,10.0.0.3,12
10.0.0.1,10.0.0.2,2
10.0.0.1,10.0.0.3,10
10.0.0.1,10.0.0.3,6
10.0.0.1,10.0.0.2,2
10.0.0.1,10.0.0.3,17
10.0.0.1,10.0.0.3,23
10.0.0.1,10.0.0.3,13
10.0.0.1,10.0.0.3,21
10.0.0.1,10.0.0.2,19
10.0.0.1,10.0.0.2,9
10.0.0.1,10.0.0.2,17
10.0.0.1,10.0.0.2,12
10.0.0.1,10.0.0.3,6
10.0.0.1,10.0.0.3,3
10.0.0.1,10.0.0.2,7
10.0.0.1,10.0.0.3,5
10.0.0.1,10.0.0.3,2
10.0.0.1,10.0.0.3,4
10.0.0.1,10.0.0.2,14
10.0.0.1,10.0.0.3,26
10.0.0.1,10.0.0.2,3
10.0.0.1,10.0.0.2,13
10.0.0.1,10.0.0.2,9
10.0.0.1,10.0.0.3,2
10.0.0.1,10.0.0.3,9
10.0.0.1,10.0.0.2,22
10.0.0.1,10.0.0.2,3
10.0.0.1,10.0.0.2,26
10.0.0.1,10.0.0.3,21
10.0.0.1,10.0.0.2,2
10.0.0.1,10.0.0.3,12
10.0.0.1,10.0.0.3,15
10.0.0.1,10.0.0.2,5
10.0.0.1,10.0.0.2,6
